Group,Payer,Plan,Group - Payer - Plan,Website,PA
Medicare,Humana,"Gold Plus, Community, Dual Select","Medicare - Humana - Gold Plus, Community, Dual Select",https://assets.humana.com/is/content/humana/20250016PDG2545625Cpdf,https://assets.humana.com/is/content/humana/2025%20Super%20National-5%20MAPD-Prior%20Authorizationpdf
Medicare,Humana,Premier Rx Plan,Medicare - Humana - Premier Rx Plan,https://assets.humana.com/is/content/humana/20250004PDG2545225Cpdf,https://assets.humana.com/is/content/humana/2025%20Enhanced-2%20PDP-Prior%20Authorizationpdf
Medicare,Humana,Value Rx Plan,Medicare - Humana - Value Rx Plan,https://assets.humana.com/is/content/humana/20250003PDG2545025Cpdf,https://assets.humana.com/is/content/humana/2025%20Lean%20Enhanced-1%20PDP-Prior%20Authorizationpdf
Medicare,United Healthcare (UHC),Advantage,Medicare - United Healthcare (UHC) - Advantage,https://www.uhc.com/medicare/alphadog/AAAR25HM0255450_010,https://www.uhc.com/medicare/online_documents/ovation/pdf/mapd/en/2025/Prior_Auth_MCORE_2025.pdf
Medicare,United Healthcare (UHC),Complete Care,Medicare - United Healthcare (UHC) - Complete Care,https://www.uhc.com/medicare/alphadog/UHAR25PP0255597_010,https://www.uhc.com/medicare/online_documents/ovation/pdf/mapd/en/2025/Prior_Auth_MCORE_2025.pdf
Medicare,United Healthcare (UHC),Dual Complete,Medicare - United Healthcare (UHC) - Dual Complete,https://www.uhc.com/medicare/alphadog/CSAR25PP0255531_010,https://www.uhc.com/medicare/online_documents/ovation/pdf/mapd/en/2025/Prior_Auth_MCORE_2025.pdf
Medicare,United Healthcare (UHC),Preferred,Medicare - United Healthcare (UHC) - Preferred,https://www.uhc.com/medicare/alphadog/PDEX25PD0255336_010,https://www.uhc.com/medicare/online_documents/ovation/pdf/mapd/en/2025/Prior_Auth_MCORE_2025.pdf
Medicare,United Healthcare (UHC),Saver,Medicare - United Healthcare (UHC) - Saver,https://www.uhc.com/medicare/alphadog/PDEX25PD0255342_010,https://www.uhc.com/medicare/online_documents/ovation/pdf/mapd/en/2025/Prior_Auth_MCORE_2025.pdf
Medicare,WellCare,Assist Compass,Medicare - WellCare - Assist Compass,https://fm.formularynavigator.com/FBO/67/10_6T_Basic_MAPD_Comp_Form_25066.pdf,
Medicare,WellCare,Dual Access Harmony,Medicare - WellCare - Dual Access Harmony,https://fm.formularynavigator.com/FBO/67/1_1T_Basic_MAPD_Comp_Form_25035.pdf,
Medicare,WellCare,Dual Liberty Nurture,Medicare - WellCare - Dual Liberty Nurture,https://fm.formularynavigator.com/FBO/67/2_1T_Basic_Select_MAPD_Comp_Form_25040.pdf,
Medicare,WellCare,Giveback,Medicare - WellCare - Giveback,https://fm.formularynavigator.com/FBO/67/14_6T_Enhanced_Plus_Select_MAPD_Comp_Form_25076.pdf,
Medicare,WellCare,Value Script,Medicare - WellCare - Value Script,https://fm.formularynavigator.com/FBO/67/8_5T_Enhanced_PDP_Comp_Form_25061.pdf,
,Aetna,Advanced Control Choice,Aetna - Advanced Control Choice,https://fm.formularynavigator.com/FBO/41/2026_Advanced_Control_Choice_Plan.pdf,
,Aetna,Basic Control,Aetna - Basic Control,https://fm.formularynavigator.com/FBO/41/2026_Basic_Control.pdf,
,Aetna,High Value,Aetna - High Value,https://fm.formularynavigator.com/FBO/41/2026_High_Value_Plan.pdf,
,Aetna,Standard,Aetna - Standard,https://fm.formularynavigator.com/FBO/41/2026_Aetna_Standard_Plan.pdf,
,Aetna,Standard Control Plan,Aetna - Standard Control Plan,https://fm.formularynavigator.com/FBO/41/2026_Standard_Control_Plan.pdf,
,Ambetter of Arkansas,,Ambetter of Arkansas,https://www.ambetterhealth.com/content/dam/centene/Ambetter%20of%20Arkansas/PDFs/2026-ar-cs-formulary.pdf,
,Arkansas BlueCross BlueShield,Blue Choice,Arkansas BlueCross BlueShield - Blue Choice,https://www.arkansasbluecross.com/docs/librariesprovider9/members/formularies/2026-bc-blue-choice-formulary.pdf?sfvrsn=1deb51fd_1,
,Arkansas BlueCross BlueShield,Essential Complete,Arkansas BlueCross BlueShield - Essential Complete,https://www.arkansasbluecross.com/docs/librariesprovider9/members/formularies/2026-complete-complete-plus-formulary.pdf?sfvrsn=26eb51fd_1,
,Arkansas BlueCross BlueShield,Metallic,Arkansas BlueCross BlueShield - Metallic,https://www.arkansasbluecross.com/docs/librariesprovider9/members/pharmacy-forms/bc-ha-oct-6t-metallic-formulary-jan-2026.pdf?sfvrsn=f64750fd_10,
,Arkansas BlueCross BlueShield,Standard,Arkansas BlueCross BlueShield - Standard,https://www.arkansasbluecross.com/docs/librariesprovider9/members/pharmacy-forms/bc-ba-ha-standard-with-step-therapy-tier-4-jan-2026-508.pdf?sfvrsn=c9ec51fd_4,
,BlueAdvantage Administrators of AR,,BlueAdvantage Administrators of AR,https://www.blueadvantagearkansas.com/docs/librariesprovider9/members/pharmacy-forms/bc-ba-ha-standard-with-step-therapy-tier-4-jan-2026-508.pdf?sfvrsn=c9ec51fd_4,
,ChampVA,,ChampVA,https://www.va.gov/resources/prescription-medications-covered-through-meds-by-mail/,
,MedImpact,UAMS,MedImpact - UAMS,https://www.medimpact.com/sites/default/files/2025-12/Iberville%20Parish%20School%20Board%20MPPREMIER%20%28POS_MS%29_01012026.pdf,https://consumerportal.medimpact.com/content/cpp-content/private/1141/EBRx%20Criteria%20for%20UAS%20Plan%20202504.pdf
,Optum,Select Standard,Optum - Select Standard,https://www.optum.com/content/dam/noindex-resources/consumers/pdfs/guides/070125-select-standard-booklet.pdf,
,Optum,Premium Standard,Optum - Premium Standard,https://www.optum.com/content/dam/noindex-resources/consumers/pdfs/guides/070125-premium-standard-booklet.pdf,
,Optum,Premium Value,Optum - Premium Value,https://www.optum.com/content/dam/noindex-resources/consumers/pdfs/guides/070125-premium-value-standard-booklet.pdf,
,QualChoice,,QualChoice,https://www.qualchoice.com/!userfiles/pdfs/Pharmacy/QCA25-AR-H-266_August_Formulary_Update.pdf,
,Tricare,,Tricare,https://www.express-scripts.com/frontend/open-enrollment/tricare/fst/#/,
,Tricare,,Tricare,https://www.health.mil/Reference-Center/Meeting-References/2026/01/05/Basic-Extended-Core-Formulary,
,UnitedHealthcare,Advantage 3-Tier,UnitedHealthcare - Advantage 3-Tier,https://www.uhc.com/content/dam/uhcdotcom/en/Pharmacy/PDFs/pharmacy-pdl-3t-adv-jan-2026.pdf,
,UnitedHealthcare,Advantage 4-Tier,UnitedHealthcare - Advantage 4-Tier,https://www.uhc.com/content/dam/uhcdotcom/en/Pharmacy/PDFs/pharmacy-pdl-4t-adv-jan-2026.pdf,
,UnitedHealthcare,Commercial,UnitedHealthcare - Commercial,https://www.uhcprovider.com/content/dam/provider/docs/public/resources/pharmacy/commercial-pdl-sept-2025.pdf,
,,,,,
